date,greenback_gold_value
1862-01-31,97.6
1862-02-28,96.6
1862-03-31,98.2
1862-04-30,98.5
1862-05-31,96.8
1862-06-30,93.9
1862-07-31,86.6
1862-08-31,87.3
1862-09-30,84.4
1862-10-31,77.8
1862-11-30,76.3
1862-12-31,75.6
1863-01-31,68.9
1863-02-28,62.8
1863-03-31,64.7
1863-04-30,66.0
1863-05-31,67.2
1863-06-30,69.2
1863-07-31,76.6
1863-08-31,79.5
1863-09-30,74.5
1863-10-31,67.7
1863-11-30,67.6
1863-12-31,66.2
1864-01-31,64.3
1864-02-29,63.1
1864-03-31,61.4
1864-04-30,57.9
1864-05-31,56.7
1864-06-30,47.5
1864-07-31,38.7
1864-08-31,39.4
1864-09-30,44.9
1864-10-31,48.3
1864-11-30,42.8
1864-12-31,44.0
1865-01-31,46.8
1865-02-28,48.7
1865-03-31,57.5
1865-04-30,67.3
1865-05-31,73.7
1865-06-30,71.4
1865-07-31,70.4
1865-08-31,69.7
1865-09-30,69.5
1865-10-31,68.7
1865-11-30,68.0
1865-12-31,68.4
